,user,datetime,session_id,game_no,chances_left,digits_left,input,hint_given,win
0,user1256,2021-11-09 15:25:53.363259,706PNI74JR,1,3,6,9,False,False
1,user1256,2021-11-09 15:25:56.769409,706PNI74JR,1,3,4,4,False,False
2,user1256,2021-11-09 15:25:58.337598,706PNI74JR,1,3,3,7,False,False
3,user1256,2021-11-09 15:26:00.424452,706PNI74JR,1,2,3,2,False,False
4,user1256,2021-11-09 15:26:02.998839,706PNI74JR,1,2,2,0,False,False
5,user1256,2021-11-09 15:26:05.056747,706PNI74JR,1,2,1,3,False,False
6,user1256,2021-11-09 15:26:09.407378,706PNI74JR,1,1,1,5,False,False
7,user1256,2021-11-09 15:26:13.046538,706PNI74JR,1,0,1,5,True,False
8,user1256,2021-11-09 15:26:17.720347,706PNI74JR,2,3,6,4,False,False
9,user1256,2021-11-09 15:26:18.975147,706PNI74JR,2,2,6,5,False,False
10,user1256,2021-11-09 15:26:19.246094,706PNI74JR,2,2,5,6,False,False
11,user1256,2021-11-09 15:26:19.792968,706PNI74JR,2,1,5,2,False,False
12,user1256,2021-11-09 15:26:20.888768,706PNI74JR,2,0,5,2,True,False
13,user1256,2021-11-09 15:26:23.185380,706PNI74JR,3,3,6,3,False,False
14,user1256,2021-11-09 15:26:25.005901,706PNI74JR,3,2,6,5,False,False
15,user1256,2021-11-09 15:26:25.870087,706PNI74JR,3,2,4,1,False,False
16,user1256,2021-11-09 15:26:26.956887,706PNI74JR,3,1,4,7,False,False
17,user1256,2021-11-09 15:26:29.390479,706PNI74JR,3,1,3,2,True,False
18,user1256,2021-11-09 15:26:32.060285,706PNI74JR,3,0,3,2,True,False
19,user1256,2021-11-09 15:26:34.669957,706PNI74JR,4,3,6,9,False,False
20,user1256,2021-11-09 15:26:36.053143,706PNI74JR,4,3,4,0,False,False
21,user1256,2021-11-09 15:26:37.364260,706PNI74JR,4,2,4,5,False,False
22,user1256,2021-11-09 15:26:39.342649,706PNI74JR,4,2,3,3,False,False
23,user1256,2021-11-09 15:26:41.363020,706PNI74JR,4,2,2,2,False,False
24,user1256,2021-11-09 15:26:44.823180,706PNI74JR,4,2,1,1,False,False
25,user1256,2021-11-09 15:26:47.593283,706PNI74JR,4,1,1,8,False,False
26,user1256,2021-11-09 15:26:51.051818,706PNI74JR,4,0,1,8,True,False
27,user1256,2021-11-09 15:26:55.578670,706PNI74JR,5,3,6,3,False,False
28,user1256,2021-11-09 15:26:57.610787,706PNI74JR,5,2,6,1,False,False
29,user1256,2021-11-09 15:26:59.261459,706PNI74JR,5,2,5,4,False,False
30,user1256,2021-11-09 15:27:01.414343,706PNI74JR,5,1,5,9,False,False
31,user1256,2021-11-09 15:27:03.875856,706PNI74JR,5,1,4,7,True,False
32,user1256,2021-11-09 15:27:05.669934,706PNI74JR,5,0,4,7,True,False
33,user1256,2021-11-09 15:27:07.312168,706PNI74JR,6,3,6,9,False,False
34,user1256,2021-11-09 15:27:09.588810,706PNI74JR,6,2,6,7,False,False
35,user1256,2021-11-09 15:27:11.365011,706PNI74JR,6,2,5,5,False,False
36,user1256,2021-11-09 15:27:13.190221,706PNI74JR,6,1,5,2,False,False
37,user1256,2021-11-09 15:27:14.778765,706PNI74JR,6,0,5,2,True,False
38,user1256,2021-11-09 15:27:16.568974,706PNI74JR,7,3,6,1,False,False
39,user1256,2021-11-09 15:27:18.747822,706PNI74JR,7,3,5,2,False,False
40,user1256,2021-11-09 15:27:19.536753,706PNI74JR,7,3,4,3,False,False
41,user1256,2021-11-09 15:27:21.145785,706PNI74JR,7,3,3,4,False,False
42,user1256,2021-11-09 15:27:22.769697,706PNI74JR,7,2,3,8,False,False
43,user1256,2021-11-09 15:27:25.012612,706PNI74JR,7,1,3,9,False,False
44,user1256,2021-11-09 15:27:28.439223,706PNI74JR,7,0,3,9,True,False
45,user1256,2021-11-09 15:27:31.808444,706PNI74JR,8,3,6,0,False,False
46,user1256,2021-11-09 15:27:33.760156,706PNI74JR,8,3,5,7,False,False
47,user1256,2021-11-09 15:27:35.315822,706PNI74JR,8,2,5,4,False,False
48,user1256,2021-11-09 15:27:36.726655,706PNI74JR,8,2,3,3,False,False
49,user1256,2021-11-09 15:27:37.990701,706PNI74JR,8,2,2,8,False,False
50,user1256,2021-11-09 15:27:40.258910,706PNI74JR,8,1,2,5,False,False
51,user1256,2021-11-09 15:27:42.507376,706PNI74JR,8,1,0,5,True,True
52,user1256,2021-11-09 15:27:56.823713,706PNI74JR,9,3,6,4,False,False
53,user1256,2021-11-09 15:27:58.236970,706PNI74JR,9,2,6,6,False,False
54,user1256,2021-11-09 15:28:00.731316,706PNI74JR,9,1,6,7,False,False
55,user1256,2021-11-09 15:28:02.211029,706PNI74JR,9,1,5,9,True,False
56,user1256,2021-11-09 15:28:04.684399,706PNI74JR,9,0,5,9,True,False
57,user1256,2021-11-09 15:28:06.381008,706PNI74JR,10,3,6,3,False,False
58,user1256,2021-11-09 15:28:08.198993,706PNI74JR,10,2,6,7,False,False
59,user1256,2021-11-09 15:28:09.170369,706PNI74JR,10,2,5,1,False,False
60,user1256,2021-11-09 15:28:10.125604,706PNI74JR,10,2,4,0,False,False
61,user1256,2021-11-09 15:28:11.628134,706PNI74JR,10,1,4,9,False,False
62,user1256,2021-11-09 15:28:15.091041,706PNI74JR,10,1,3,8,True,False
63,user1256,2021-11-09 15:28:17.802889,706PNI74JR,10,0,3,8,True,False
64,user1256,2021-11-09 15:28:19.395045,706PNI74JR,11,3,6,1,False,False
65,user1256,2021-11-09 15:28:20.718490,706PNI74JR,11,2,6,4,False,False
66,user1256,2021-11-09 15:28:22.937233,706PNI74JR,11,2,5,3,False,False
67,user1256,2021-11-09 15:28:24.848646,706PNI74JR,11,2,4,8,False,False
68,user1256,2021-11-09 15:28:26.514230,706PNI74JR,11,1,4,9,False,False
69,user1256,2021-11-09 15:28:28.204380,706PNI74JR,11,1,3,0,True,False
70,user1256,2021-11-09 15:28:30.356063,706PNI74JR,11,0,3,0,True,False
